Ticket ID,Epic,Issue Type,Summary,Priority,Owner,Status,Labels,Dependencies,Sprint,Acceptance Criteria
AUTH-001,EPIC-01 認証,Feature,メールアドレス新規登録APIを実装する,P0,バックエンド,Backlog,AUTH,,Sprint 1,メール重複時409、正常時user_id返却、規約未同意は登録不可
AUTH-002,EPIC-01 認証,Feature,新規登録画面を実装する,P0,フロント,Backlog,AUTH,AUTH-001,Sprint 1,メール/電話切替、バリデーション表示、登録後認証画面へ遷移
AUTH-003,EPIC-01 認証,Feature,OTP送信APIを実装する,P0,バックエンド,Backlog,AUTH,AUTH-001,Sprint 1,email/sms対応、expires_in_seconds返却、レート制限あり
AUTH-004,EPIC-01 認証,Feature,OTP認証画面を実装する,P0,フロント,Backlog,AUTH,AUTH-003,Sprint 1,6桁入力、成功遷移、期限切れ/不正コード表示
AUTH-005,EPIC-01 認証,Feature,ログインAPIを実装する,P0,バックエンド,Backlog,AUTH,AUTH-001,Sprint 1,JWT発行、401返却、suspendedユーザー拒否
AUTH-006,EPIC-01 認証,Feature,ログイン画面を実装する,P0,フロント,Backlog,AUTH,AUTH-005,Sprint 1,成功時ホーム/途中オンボーディング遷移、トークン保存
ONB-001,EPIC-02 オンボーディング,Feature,基本プロフィール更新APIを実装する,P0,バックエンド,Backlog,ONBOARDING,AUTH-005,Sprint 1,必須項目バリデーション、更新済プロフィール返却
ONB-002,EPIC-02 オンボーディング,Feature,基本プロフィール入力画面を実装する,P0,フロント,Backlog,ONBOARDING,ONB-001,Sprint 1,必須不足で進めない、保存後次画面遷移
ONB-003,EPIC-02 オンボーディング,Feature,利用目的更新APIを実装する,P0,バックエンド,Backlog,ONBOARDING,ONB-001,Sprint 1,複数目的保存、priority重複不可
ONB-004,EPIC-02 オンボーディング,Feature,利用目的選択画面を実装する,P0,フロント,Backlog,ONBOARDING,ONB-003,Sprint 1,複数選択可、保存後次画面遷移
ONB-005,EPIC-02 オンボーディング,Feature,興味タグ更新APIを実装する,P0,バックエンド,Backlog,ONBOARDING,ONB-001,Sprint 1,複数タグ保存
ONB-006,EPIC-02 オンボーディング,Feature,興味タグ選択画面を実装する,P0,フロント,Backlog,ONBOARDING,ONB-005,Sprint 1,検索、選択済み表示、保存可能
ONB-007,EPIC-02 オンボーディング,Feature,活動時間更新APIを実装する,P0,バックエンド,Backlog,ONBOARDING,ONB-001,Sprint 1,複数スロット保存、時間妥当性チェック
ONB-008,EPIC-02 オンボーディング,Feature,活動時間設定画面を実装する,P0,フロント,Backlog,ONBOARDING,ONB-007,Sprint 1,テンプレ選択＋詳細設定可能
VER-001,EPIC-03 本人確認,Feature,本人確認申請APIを実装する,P0,バックエンド,Backlog,SAFETY,AUTH-005,Sprint 1,request_id返却、pending保存
VER-002,EPIC-03 本人確認,Feature,本人確認ステータス取得APIを実装する,P0,バックエンド,Backlog,SAFETY,VER-001,Sprint 1,最新ステータス取得
VER-003,EPIC-03 本人確認,Feature,本人確認画面を実装する,P0,フロント,Backlog,SAFETY,"VER-001,VER-002",Sprint 1,アップロード、審査中/承認/差し戻し表示
AI-001,EPIC-04 AI診断,Feature,AI診断開始APIを実装する,P0,バックエンド/AI,Backlog,AI,AUTH-005,Sprint 2,session_id、first_question返却
AI-002,EPIC-04 AI診断,Feature,AI診断回答保存APIを実装する,P0,バックエンド/AI,Backlog,AI,AI-001,Sprint 2,回答保存、next_question/progress返却
AI-003,EPIC-04 AI診断,Feature,AI診断結果取得APIを実装する,P0,バックエンド/AI,Backlog,AI,"AI-001,AI-002",Sprint 2,headline/description/recommended_styles返却
AI-005,EPIC-04 AI診断,Feature,AI診断チャットUIを実装する,P0,フロント,Backlog,AI,"AI-001,AI-002",Sprint 2,回答送信で次問進行、進捗表示
AI-006,EPIC-04 AI診断,Feature,AI診断結果画面を実装する,P0,フロント,Backlog,AI,AI-003,Sprint 2,headline/description表示、編集/確定導線
LIFE-001,EPIC-04A AIライフナビ,Feature,AIライフナビ面談開始APIを実装する,P0,バックエンド/AI,Backlog,AI_COMPANION,AUTH-005,Sprint A,session_id、first_question、current_state_hintを返す
LIFE-002,EPIC-04A AIライフナビ,Feature,AIライフナビ回答APIを実装する,P0,バックエンド/AI,Backlog,AI_COMPANION,LIFE-001,Sprint A,回答保存、next_question、tentative_state返却
LIFE-003,EPIC-04A AIライフナビ,Feature,AIライフナビ結果APIを実装する,P0,バックエンド/AI,Backlog,AI_COMPANION,"LIFE-001,LIFE-002",Sprint A,current_state_summary、recommended_connection_style、recommended_week_plan返却
LIFE-004,EPIC-04A AIライフナビ,Feature,AIライフナビ面談画面を実装する,P0,フロント,Backlog,AI_COMPANION,"LIFE-001,LIFE-002",Sprint A,チャット形式進行、進捗表示、候補チップ表示
LIFE-005,EPIC-04A AIライフナビ,Feature,AIライフナビ結果画面を実装する,P0,フロント,Backlog,AI_COMPANION,LIFE-003,Sprint A,今の状態、向いている接点、今週の方針表示
